conversation_id,profile_id,role,content,turn,position,O,C,E,A,N
10476,profile_1,user,Hi there! I'd love to reserve some tickets for an event.,0,0,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,assistant,Absolutely! Do you have a specific date and event in mind? How many tickets would you like?,0,1,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,user,I’m looking for three tickets for Brown Sabbath on March 11th.,1,2,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,assistant,Sounds exciting! Which city should I search for this event?,1,3,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,user,"Could you look for events around Anaheim, please?",2,4,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,assistant,"Of course! Just to confirm, you want 3 tickets for the Brown Sabbath event on March 11th in Anaheim, correct?",2,5,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,user,"Yes, that will be perfect!",3,6,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,assistant,Wonderful! Your reservation is confirmed. I hope you have an amazing time at the event!,3,7,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,user,Thank you so much for your help!,4,8,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
10476,profile_1,assistant,You're welcome! Is there anything else I can assist you with today?,4,9,"{0.33:[0.28, 0.29, 0.25, 0.28, 0.25, 0.29]}","{0.45:[0.43, 0.55, 0.48, 0.46, 0.49, 0.52]}","{0.45:[0.8, 0.48, 0.42, 0.42, 0.39, 0.4]}","{0.65:[0.74, 0.68, 0.67, 0.58, 0.7, 0.58]}","{0.3:[0.4, 0.34, 0.41, 0.32, 0.36, 0.16]}"
