conversation_id,profile_id,role,content,original_content,turn,position,O,C,E,A,N
678,profile_1,user,I need some help finding songs to listen to.,"I'm looking for some new music to dive into, any suggestions?",0,0,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,assistant,How about No More by Disturbed from the album Evolution.,How about trying No More by Disturbed from their album Evolution? It’s quite an intense piece.,0,1,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,user,"Yeah, I like that.","Sounds intriguing, I think I’ll enjoy that.",1,2,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,assistant,Do you want me to play the song?,Shall I go ahead and play the song for you?,1,3,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,user,"Yes, please play it on the kitchen speaker.","Yes, please. Can you play it on the kitchen speaker?",2,4,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,assistant,"I'll play No More on the kitchen speaker, is that correct?",I'll get No More playing on the kitchen speaker. Is that right?,2,5,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,user,"Sorry, no. Can you play it on the speaker in the bedroom instead?","Actually, could you play it on the bedroom speaker instead?",3,6,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,assistant,"I'll play No More on the bedroom speaker, is that correct?","Sure thing, I'll play No More on the bedroom speaker. Is that correct?",3,7,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,user,"Yeah, that's correct. What kind of song is it?","Yes, that’s perfect. What’s the vibe of the song?",4,8,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
678,profile_1,assistant,It's a Rock song. The song has begun.,"It’s a powerful Rock track, full of energy and emotion. The song has started.",4,9,"[0.32940407970558117, 0.5221379762881573, 0.45731480574884714, 0.4573826758771402, 0.36562482769220617, 0.3016912435458826]","[0.3968829143672211, 0.5510882946917882, 0.508550371173934, 0.3394081952630388, 0.5354397511915666, 0.47071597703660856]","[0.43155583438794176, 0.6663473901648969, 0.48900593589550373, 0.6726204369623296, 0.6961676113536378, 0.8031608195215767]","[0.1, 0.31740774061710375, 0.39282265084596285, 0.23260645913078587, 0.28140488704451394, 0.1540833367553323]","[0.5388295282814403, 0.3566543813669732, 0.46277086548920743, 0.2692729523090969, 0.36241437923573927, 0.4586638314220996]"
